date,quantity
2026-01-02,5.000
2026-01-01,5.000
2025-12-28,20.000
2025-10-14,7.000
2025-08-13,7.000
2025-08-16,10.000
2025-10-11,9.000
2025-11-25,57.000
2025-09-27,5.000
2025-09-13,3.000
2025-08-03,7.000
2025-09-22,9.000
2025-12-17,39.000
2025-04-21,3.000
2025-10-31,6.000
2025-07-28,6.000
2025-11-15,64.000
2025-10-09,9.000
2025-09-21,11.000
2025-07-20,8.000
2025-10-26,8.000
2025-07-27,8.000
2025-07-22,7.000
2025-12-07,43.000
2025-12-27,20.000
2025-10-05,8.000
2025-09-19,11.000
2025-09-01,2.000
2025-10-19,10.000
2025-11-11,68.000
2025-08-27,8.000
2025-10-30,6.000
2025-12-30,11.000
2024-05-19,16.000
2025-11-29,55.000
2025-11-05,11.000
2025-12-16,39.000
2025-10-06,5.000
2021-10-20,3.000
2025-12-31,5.000
2025-08-26,8.000
2025-08-25,3.000
2025-11-01,6.000
2025-11-08,70.000
2025-08-21,6.000
2025-10-01,4.000
2025-10-07,3.000
2025-11-20,62.000
2025-08-20,7.000
2025-12-15,39.000
2025-12-20,33.000
2025-12-19,36.000
2025-08-29,7.000
2025-08-30,6.000
2025-06-09,7.000
2025-12-05,46.000
2025-12-04,49.000
2023-05-01,8.000
2025-10-29,6.000
2023-10-23,8.000
2021-09-24,2.000
2024-09-13,17.000
2025-11-04,12.000
2021-09-14,8.000
2021-09-21,4.000
2021-09-22,4.000
2021-09-17,11.000
2021-03-15,46.000
2021-09-16,6.000
2025-10-15,6.000
2021-10-08,21.000
2021-10-07,22.000
2021-09-09,8.000
2022-04-13,20.000
2021-08-17,3.000
2021-08-11,4.000
2021-11-19,48.000
2024-09-14,17.000
2022-01-20,1.000
2021-09-30,17.000
2022-01-21,12.000
2022-07-22,11.000
2022-11-14,23.000
2024-09-19,12.000
2022-04-14,18.000
2021-09-20,5.000
2022-11-15,22.000
2021-08-14,6.000
2021-09-29,18.000
2021-10-01,17.000
2022-07-15,12.000
2021-10-06,25.000
2024-08-15,8.000
2022-09-16,8.000
2024-09-28,11.000
2021-09-08,9.000
2021-07-15,8.000
2021-07-22,1.000
2022-08-18,5.000
2021-08-12,3.000
2025-07-25,12.000
2021-10-02,17.000
2025-10-27,7.000
2022-09-15,4.000
2021-07-30,21.000
2021-11-24,48.000
2021-07-08,18.000
2022-07-19,6.000
2025-11-07,70.000
2022-05-13,2.000
2021-12-15,37.000
2024-07-25,14.000
2022-08-17,6.000
2021-10-09,19.000
2021-07-14,8.000
2021-09-03,10.000
2022-07-29,11.000
2021-10-16,9.000
2022-08-11,8.000
2021-08-16,6.000
2021-08-07,13.000
2022-06-18,11.000
2022-08-05,12.000
2021-08-24,4.000
2021-11-23,48.000
2025-12-21,33.000
2022-04-09,28.000
2025-11-28,56.000
2021-07-20,1.000
2021-08-04,17.000
2022-06-09,1.000
2022-07-21,5.000
2025-09-24,9.000
2021-08-28,12.000
2021-07-26,22.000
2024-08-14,3.000
2021-11-13,53.000
2021-11-17,51.000
2023-03-15,21.000
2024-08-17,7.000
2021-08-03,19.000
2025-07-21,7.000
2021-12-10,42.000
2024-08-13,3.000
2024-07-19,10.000
2024-09-05,3.000
2021-06-23,9.000
2024-09-25,5.000
2025-10-04,10.000
2024-09-17,14.000
2022-07-18,8.000
2025-09-08,11.000
2022-07-26,16.000
2022-08-23,9.000
2024-10-09,5.000
2022-07-07,11.000
2025-09-23,9.000
2021-11-18,50.000
2024-09-16,16.000
2021-12-21,25.000
2022-09-13,5.000
2024-10-08,8.000
2022-06-11,13.000
2025-09-07,5.000
2022-09-17,7.000
2021-12-14,39.000
2021-06-16,7.000
2022-09-24,9.000
2024-07-26,13.000
2021-07-07,19.000
2021-06-10,5.000
2024-12-19,51.000
2024-09-07,2.000
2024-10-12,4.000
2024-12-14,57.000
2022-08-13,5.000
2024-07-24,8.000
2021-07-12,11.000
2023-03-05,43.000
2024-12-20,48.000
2024-08-23,3.000
2021-10-30,21.000
2022-09-30,10.000
2023-02-26,15.000
2022-04-07,29.000
2022-07-02,12.000
2024-10-02,8.000
2022-05-12,4.000
2024-10-17,9.000
2024-07-23,9.000
2021-07-01,7.000
2021-06-26,11.000
2022-07-20,6.000
2024-07-11,12.000
2021-11-15,51.000
2021-07-31,20.000
2024-12-11,63.000
2025-10-22,9.000
2022-06-29,12.000
2023-02-12,5.000
2022-06-21,17.000
2023-03-12,25.000
2024-08-22,4.000
2022-10-14,64.000
2023-09-21,16.000
2025-09-30,4.000
2024-08-30,11.000
2022-09-21,11.000
2022-09-19,6.000
2022-07-28,14.000
2022-05-11,6.000
2022-05-31,9.000
2022-06-30,12.000
2021-06-29,7.000
2021-07-03,24.000
2022-04-16,7.000
2025-10-08,3.000
2024-07-20,9.000
2022-09-29,4.000
2022-06-02,8.000
2024-06-21,5.000
2021-08-25,3.000
2021-07-27,22.000
2023-01-22,18.000
2022-04-01,38.000
2022-09-27,5.000
2022-08-25,7.000
